4    0 
7    0 
10    0 
13    0 
16    0 
19    0 
22    0 
25    0 
28    0 
31    0 
34    0 
37    0 
40    0 
43    0 
46    0 
49    0 
52    0 
55    0 
58    0 
61    0 
64    0 
67    0 
70    0 
73    0 
76    0 
79    0 
82    0 
85    0 
88    0 
91    0 
94    0 
97    0 
100    0 
103    0 
106    0 
109    0 
112    0 
115    0 
118    0 
121    0 
124    0 
127    0 
130    0 
133    0 
136    0 
139    0 
142    0 
145    0 
148    0 
151    0 
154    0 
157    0 
160    0 
163    0 
166    0 
169    0 
172    0 
175    0 
178    0 
181    0 
184    0 
187    0 
190    0 
193    0 
196    0 
199    0 
202    0 
205    0 
208    0 
211    0 
214    0 
217    0 
220    0 
223    0 
226    0 
229    0 
232    0 
235    0 
238    0 
241    0 
244    0 
247    0 
250    0 
253    0 
256    0 
259    0 
262    0 
265    0 
268    0 
271    0 
274    0 
277    0 
280    0 
283    0 
286    0 
289    0 
292    0 
295    0 
298    0 
301    0 
304    0 
307    0 
310    0 
313    0 
316    0 
319    0 
322    0 
325    0 
328    0 
331    0 
334    0 
337    0 
340    0 
343    0 
346    0 
349    0 
352    0 
355    0 
358    0 
361    0 
364    0 
367    0 
370    0 
373    0 
376    0 
379    0 
382    0 
385    0 
388    0 
391    0 
394    0 
397    0 
400    0 
403    0 
406    0 
409    0 
412    0 
415    0 
418    0 
421    0 
424    0 
427    0 
430    0 
433    0 
436    0 
439    0 
442    0 
445    0 
448    0 
451    0 
454    0 
457    0 
460    0 
463    0 
466    0 
469    0 
472    0 
475    0 
478    0 
481    0 
484    0 
487    0 
490    0 
493    0 
496    0 
499    0 
502    0 
505    0 
508    0 
511    0 
514    0 
517    0 
520    0 
523    0 
526    0 
529    0 
532    0 
535    0 
538    0 
541    0 
544    0 
547    0 
550    0 
553    0 
556    0 
559    0 
562    0 
565    0 
568    0 
571    0 
574    0 
577    0 
580    0 
583    0 
586    0 
589    0 
592    0 
595    0 
598    0 
601    0 
